STDR_YM_CD,SUD_CD,APT_HSMP_CO,AE_66_SQMT_BELO_HSHLD_CO,AE_66_SQMT_HSHLD_CO,AE_99_SQMT_HSHLD_CO,AE_132_SQMT_HSHLD_CO,AE_165_SQMT_HSHLD_CO,PC_1_HDMIL_BELO_HSHLD_CO,PC_1_HDMIL_HSHLD_CO,PC_2_HDMIL_HSHLD_CO,PC_3_HDMIL_HSHLD_CO,PC_4_HDMIL_HSHLD_CO,PC_5_HDMIL_HSHLD_CO,PC_6_HDMIL_ABOVE_HSHLD_CO,AVRG_AE,AVRG_MKTC
202212,1123002210,1,10,0,0,0,0,0,1,9,0,0,0,0,45.3,209800000
202212,1123002211,1,0,11,0,0,0,0,0,0,0,0,11,0,85,544272727.272727272727272727272727272727
202212,1123002212,1,0,0,12,0,0,0,0,0,0,0,0,12,115,812416666.666666666666666666666666666667
202212,1123002213,1,0,0,12,0,0,0,0,0,0,0,0,12,115,812416666.666666666666666666666666666667
202212,1123002214,1,0,11,0,0,0,0,0,0,0,0,11,0,85,560000000
202212,1123002216,1,0,12,0,0,0,0,0,0,0,0,1,11,85,659500000
202212,1123002217,1,0,12,0,0,0,0,0,0,0,0,1,11,85,664500000
202212,1123002219,1,0,12,0,0,0,0,0,0,0,0,0,12,85,651500000
202212,1123002221,1,11,0,0,0,0,0,0,0,0,11,0,0,60,456636363.636363636363636363636363636364
202212,1123002222,1,9,0,2,0,0,0,0,0,0,9,1,1,70,497636363.636363636363636363636363636364
202212,1123002224,1,12,0,0,0,0,12,0,0,0,0,0,0,17,85800000
202212,1123002225,1,0,12,0,0,0,0,0,0,0,0,0,12,85,660833333.333333333333333333333333333333
202212,1123002226,1,0,11,0,0,0,0,0,0,0,0,11,0,85,560000000
202212,1123002228,1,12,0,0,0,0,0,0,0,0,0,12,0,60,535000000
202212,1123002230,1,12,0,0,0,0,0,0,0,0,1,11,0,60,523666666.666666666666666666666666666667
202212,1123002231,1,12,0,0,0,0,0,0,0,0,3,9,0,60,508750000
202212,1123002233,1,0,0,11,0,0,0,0,0,0,0,0,11,115,663545454.545454545454545454545454545455
202212,1123002235,1,7,0,4,0,0,0,0,0,0,7,2,2,80,511909090.909090909090909090909090909091
202212,1123002236,1,3,5,0,0,0,0,3,5,0,0,0,0,62.625,207750000
202212,1123002251,1,0,22,0,0,0,0,0,0,0,6,16,0,134,1001090909.09090909090909090909090909091
202212,1123002253,2,25,3,0,0,1,6,1,21,0,0,0,1,173.909090909090909090909090909090909091,710762626.262626262626262626262626262626
202212,1123002257,3,33,0,0,0,0,4,7,17,5,0,0,0,165.636363636363636363636363636363636364,865000000
202212,1123002260,1,0,11,0,0,0,0,0,0,0,0,11,0,97,571000000
202212,1123002271,1,11,0,0,0,0,0,0,0,4,7,0,0,60,425181818.181818181818181818181818181818
202212,1123002276,2,8,8,0,0,0,0,8,8,0,0,0,0,120,355750000
202212,1123002285,1,0,11,0,0,0,0,0,0,0,0,11,0,91,544727272.727272727272727272727272727273
202212,1123002290,6,19,36,2,1,0,0,11,35,11,1,0,0,433.932034632034632034632034632034632035,1524000216.450216450216450216450216450218
202212,1123002296,8,32,12,0,0,0,0,44,0,0,0,0,0,491,1396000000
202212,1123002298,6,36,8,0,0,0,0,39,5,0,0,0,0,376.25,1067125000
202212,1123002304,1,0,11,0,0,0,0,0,0,0,5,6,0,87.18181818181818181818181818181818181818,508272727.272727272727272727272727272727
202212,1123002313,8,42,27,0,2,8,0,32,37,0,2,8,0,587.958333333333333333333333333333333334,2041716666.666666666666666666666666666666
202212,1123002315,1,0,8,1,0,0,0,0,1,7,1,0,0,88,349222222.222222222222222222222222222222
202212,1123002317,1,12,0,0,0,0,0,12,0,0,0,0,0,33.66666666666666666666666666666666666667,148666666.666666666666666666666666666667
202212,1123002322,2,40,0,0,0,0,0,0,40,0,0,0,0,222.9,909200000
202212,1123002326,4,56,12,0,0,0,7,42,19,0,0,0,0,204.681818181818181818181818181818181818,980951515.151515151515151515151515151515
202212,1123002328,9,24,53,1,1,3,8,18,51,1,1,3,0,659.543939393939393939393939393939393939,2065746969.696969696969696969696969696969
202212,1123002334,1,10,0,0,0,0,1,8,1,0,0,0,0,31.4,138300000
202212,1123002336,2,19,0,0,0,0,0,13,6,0,0,0,0,72,349727272.727272727272727272727272727273
